gene,gene_name,tpm
ENSG00000116478,HDAC1,53.18421140376465
ENSG00000175130,MARCKSL1,275.1915703061556
ENSG00000162526,TSSK3,1.1384747742124086
ENSG00000225828,FAM229A,2.4040956003827896
ENSG00000160058,BSDC1,33.54346438387686
ENSG00000160062,ZBTB8A,0.7442954690817425
ENSG00000176261,ZBTB8OS,45.773905907917644
ENSG00000162521,RBBP4,75.04935073139316
ENSG00000162520,SYNC,8.952780877742157
ENSG00000162522,KIAA1522,13.088611014604721
ENSG00000134684,YARS,78.57360570393179
ENSG00000116497,S100PBP,15.02154953309732
ENSG00000160097,FNDC5,0.30260229484778406
ENSG00000121900,TMEM54,43.05871391318257
ENSG00000116514,RNF19B,2.016021429270982
ENSG00000004455,AK2,184.87699556212976
ENSG00000142920,ADC,0.642366275027752
ENSG00000116525,TRIM62,0.500355548936906
ENSG00000160094,ZNF362,0.42231600973931965
ENSG00000134686,PHC2,8.617794828533471
ENSG00000233246,RP11-415J8.5,0.629094244551972
ENSG00000121903,ZSCAN20,1.2058966890293707
ENSG00000163866,SMIM12,101.92441612301913
ENSG00000163867,ZMYM6,5.293416634960096
ENSG00000197056,ZMYM1,7.844035451795496
ENSG00000116560,SFPQ,261.28195148631914
ENSG00000146463,ZMYM4,37.69734448218649
ENSG00000142687,KIAA0319L,11.786624824930703
ENSG00000020129,NCDN,5.6071674354075345
ENSG00000126067,PSMB2,212.59616209201533
ENSG00000142686,C1orf216,9.899342091274786
ENSG00000092853,CLSPN,51.64624851223127
ENSG00000134698,AGO4,2.5009814228559835
ENSG00000092847,AGO1,18.344600523623118
ENSG00000126070,AGO3,21.224631136867377
ENSG00000116863,ADPRHL2,22.66385012166096
ENSG00000054116,TRAPPC3,124.82663191202509
ENSG00000116871,MAP7D1,15.61693282024081
ENSG00000054118,THRAP3,112.08972970502855
ENSG00000142694,EVA1B,5.841816934219326
ENSG00000116883,RP11-268J15.5,0.3498507233415608
ENSG00000196182,STK40,29.22474566705805
ENSG00000181817,LSM10,131.88602492209247
ENSG00000116898,MRPS15,266.0582898139428
ENSG00000119535,CSF3R,0.48814528089918846
ENSG00000233621,LINC01137,0.9980566917786562
ENSG00000163874,ZC3H12A,4.69590982294048
ENSG00000163875,MEAF6,96.65143841499173
ENSG00000163877,SNIP1,4.621321011666597
ENSG00000134697,GNL2,79.02352753706074
ENSG00000116922,C1orf109,22.751180082191592
ENSG00000134690,CDCA8,35.09815003380972
ENSG00000185090,MANEAL,6.1048685782492855
ENSG00000196449,YRDC,76.43096910392187
ENSG00000197982,C1orf122,140.48656611100742
ENSG00000188786,MTF1,8.497815673032418
ENSG00000204084,INPP5B,4.921003459809708
ENSG00000183431,SF3A3,52.75871010671114
ENSG00000183386,FHL3,57.1445852977374
ENSG00000183520,UTP11L,66.1132926120505
ENSG00000185668,POU3F1,0.4159454351109452
ENSG00000116954,RRAGC,25.31586725133132
ENSG00000228436,RP5-864K19.4,2.3263215017947187
ENSG00000214114,MYCBP,45.97325180566386
ENSG00000174574,AKIRIN1,92.34492996621064
ENSG00000168653,NDUFS5,443.6821207210588
ENSG00000127603,MACF1,31.861367241376502
ENSG00000255103,KIAA0754,1.225008412914494
ENSG00000182109,RP11-69E11.4,0.49823202406078126
ENSG00000090621,PABPC4,107.41611689328737
ENSG00000084072,PPIE,71.92192947008037
ENSG00000116985,BMP8B,0.554770873887604
ENSG00000198754,OXCT2,0.5688392261919308
ENSG00000261798,RP1-118J21.25,3.3615398789055586
ENSG00000043514,TRIT1,25.2917121558654
ENSG00000116990,MYCL,3.1624594217688586
ENSG00000131236,CAP1,95.31919199583292
ENSG00000131238,PPT1,49.92645880317969
ENSG00000117000,RLF,19.042709326649145
ENSG00000259943,RP1-39G22.7,12.698147878007273
ENSG00000084073,ZMPSTE24,19.32540357578326
ENSG00000084070,SMAP2,80.66395050386714
ENSG00000187801,ZFP69B,3.784917651082941
ENSG00000187815,ZFP69,2.2445657940639134
ENSG00000117010,ZNF684,2.1936011970369185
ENSG00000117016,RIMS3,0.9606295658369564
ENSG00000272145,NFYC-AS1,2.5054939132177485
ENSG00000066136,NFYC,27.280393202356276
ENSG00000117013,KCNQ4,1.0848557710902573
