cell,target,assay,effect_sign,background,pos_overlap,pos_total,pos_frac,bg_overlap,bg_total,bg_frac,odds_ratio,log2_OR,p_value,FDR
K562,NFATC3,TF ChIP-seq,neg,all,3,18,0.16666666666666666,26,599,0.04340567612687813,4.407692307692308,2.2888878331233546,0.047330236400426634,0.32121453770422875
K562,NONO,TF ChIP-seq,neg,all,4,18,0.2222222222222222,45,599,0.07512520868113523,3.5174603174603174,1.919193016277754,0.046851939112562385,0.32121453770422875
K562,KLF16,TF ChIP-seq,neg,all,6,18,0.3333333333333333,91,599,0.15191986644407346,2.791208791208791,1.5309876539398253,0.04857065622543594,0.325295579194038
K562,MCM2,TF ChIP-seq,neg,all,1,18,0.05555555555555555,1,599,0.001669449081803005,35.1764705882353,5.095924419998536,0.0575417289355701,0.36390558629874875
K562,THRB,TF ChIP-seq,neg,all,3,18,0.16666666666666666,28,599,0.04674457429048414,4.078571428571428,2.178878285720465,0.056114223819407935,0.36390558629874875
K562,ZNF282,TF ChIP-seq,neg,all,4,18,0.2222222222222222,49,599,0.08180300500834725,3.206997084548105,1.7871861397994997,0.06005514587248506,0.36390558629874875
K562,HMBOX1,TF ChIP-seq,neg,all,7,18,0.3888888888888889,108,599,0.18030050083472454,2.893097643097643,1.562825013447607,0.057197008366656726,0.36390558629874875
K562,NUFIP1,TF ChIP-seq,neg,all,2,18,0.1111111111111111,12,599,0.02003338898163606,6.114583333333333,2.8321228272065464,0.059463106498501915,0.36390558629874875
K562,GATA2,TF ChIP-seq,neg,all,5,18,0.2777777777777778,70,599,0.11686143572621036,2.9065934065934065,1.6134796380673717,0.05573633099099911,0.36390558629874875
K562,CDC5L,TF ChIP-seq,neg,all,2,18,0.1111111111111111,12,599,0.02003338898163606,6.114583333333333,2.8321228272065464,0.059463106498501915,0.36390558629874875
K562,DPF2,TF ChIP-seq,neg,all,9,18,0.5,166,599,0.27712854757929883,2.608433734939759,1.3805098161505729,0.059119080810539695,0.36390558629874875
K562,ELF1,TF ChIP-seq,neg,all,4,18,0.2222222222222222,50,599,0.08347245409015025,3.137142857142857,1.7557081945121766,0.06364913958830656,0.37671409360986097
K562,XRCC5,TF ChIP-seq,neg,all,4,18,0.2222222222222222,50,599,0.08347245409015025,3.137142857142857,1.7557081945121766,0.06364913958830656,0.37671409360986097
K562,ARNT,TF ChIP-seq,neg,all,5,18,0.2777777777777778,73,599,0.12186978297161936,2.7713382507903055,1.5451614926631811,0.06442404127324959,0.3769176667595867
K562,FOXP4,TF ChIP-seq,neg,all,2,18,0.1111111111111111,13,599,0.021702838063439065,5.634615384615385,2.718633771393949,0.06743688132318601,0.3813930288166853
K562,FOXJ2,TF ChIP-seq,neg,all,4,18,0.2222222222222222,51,599,0.08514190317195326,3.070028011204482,1.7247912895347148,0.06735991650814241,0.3813930288166853
K562,CHAMP1,TF ChIP-seq,neg,all,2,18,0.1111111111111111,13,599,0.021702838063439065,5.634615384615385,2.718633771393949,0.06743688132318601,0.3813930288166853
K562,RCOR1,TF ChIP-seq,neg,all,9,18,0.5,175,599,0.2921535893155259,2.422857142857143,1.2742935232484778,0.06855976186121578,0.3831535095076951
K562,TAL1,TF ChIP-seq,neg,all,7,18,0.3888888888888889,119,599,0.1986644407345576,2.5668449197860963,1.3908544523445077,0.06925367951809028,0.3831535095076951
K562,NR2F1,TF ChIP-seq,neg,all,7,18,0.3888888888888889,121,599,0.2020033388981636,2.513899323816679,1.3608912504317503,0.07242244010893899,0.38803181068894677
K562,ZNF644,TF ChIP-seq,neg,all,4,18,0.2222222222222222,52,599,0.08681135225375626,3.0054945054945055,1.6944136431371535,0.07118700439357391,0.38803181068894677
K562,ATF3,TF ChIP-seq,neg,all,7,18,0.3888888888888889,121,599,0.2020033388981636,2.513899323816679,1.3608912504317503,0.07242244010893899,0.38803181068894677
K562,SMARCE1,TF ChIP-seq,neg,all,7,18,0.3888888888888889,123,599,0.20534223706176963,2.4626755358462677,1.3312938118767699,0.07588822541684985,0.4023656951789226
K562,CREB3L1,TF ChIP-seq,neg,all,4,18,0.2222222222222222,54,599,0.09015025041736227,2.8835978835978837,1.635195067861421,0.0791876084395671,0.4155308525333985
K562,KDM4B,TF ChIP-seq,neg,all,1,18,0.05555555555555555,2,599,0.00333889816360601,17.558823529411764,4.356546291756938,0.085125873454529,0.4290006889936165
K562,NEUROD1,TF ChIP-seq,neg,all,4,18,0.2222222222222222,55,599,0.09181969949916527,2.825974025974026,1.606316378681541,0.08335957451219805,0.4290006889936165
K562,FOXJ3,TF ChIP-seq,neg,all,1,18,0.05555555555555555,2,599,0.00333889816360601,17.558823529411764,4.356546291756938,0.085125873454529,0.4290006889936165
K562,ETV1,TF ChIP-seq,neg,all,5,18,0.2777777777777778,79,599,0.1318864774624374,2.5316455696202533,1.4154155144888905,0.08410475930325675,0.4290006889936165
K562,NCOA6,TF ChIP-seq,neg,all,2,18,0.1111111111111111,16,599,0.02671118530884808,4.5546875,2.4217287018778038,0.09331720843967639,0.4611500883086921
K562,HCFC1,TF ChIP-seq,neg,all,3,18,0.16666666666666666,35,599,0.05843071786310518,3.222857142857143,1.8442412629390477,0.09256652330725236,0.4611500883086921
K562,ZBTB2,TF ChIP-seq,neg,all,4,18,0.2222222222222222,58,599,0.09682804674457429,2.665024630541872,1.522396814339663,0.09655044435498486,0.4636243035536537
K562,SOX6,TF ChIP-seq,neg,all,8,18,0.4444444444444444,151,599,0.25208681135225375,2.3735099337748347,1.2609356099178894,0.09598023047848642,0.4636243035536537
K562,MTA3,TF ChIP-seq,neg,all,6,18,0.3333333333333333,95,599,0.15859766277128548,2.6526315789473682,1.457865159436976,0.09592850798672581,0.4636243035536537
K562,CXXC5,TF ChIP-seq,neg,all,8,18,0.4444444444444444,154,599,0.2570951585976628,2.311688311688312,1.2229640120891265,0.09961468367438303,0.4694803147246386
K562,H3K4me2,Histone ChIP-seq,neg,all,12,18,0.6666666666666666,278,599,0.46410684474123537,2.3093525179856114,1.1505578816215483,0.09886618480109649,0.4694803147246386
K562,CC2D1A,TF ChIP-seq,neg,all,6,18,0.3333333333333333,99,599,0.1652754590984975,2.525252525252525,1.387185166658712,0.10118151566495259,0.4701117758268484
K562,BACH1,TF ChIP-seq,neg,all,2,18,0.1111111111111111,17,599,0.028380634390651086,4.279411764705882,2.334365198125585,0.10251946388365456,0.4701117758268484
K562,CBX5,TF ChIP-seq,neg,all,2,18,0.1111111111111111,17,599,0.028380634390651086,4.279411764705882,2.334365198125585,0.10251946388365456,0.4701117758268484
K562,PKNOX1,TF ChIP-seq,neg,all,8,18,0.4444444444444444,157,599,0.2621035058430718,2.2522292993630573,1.18547104505466,0.10395702508950377,0.47244755152283413
K562,ZNF280A,TF ChIP-seq,neg,all,1,18,0.05555555555555555,3,599,0.005008347245409015,11.686274509803921,3.8687028894138136,0.11194628758778385,0.4998303542296665
K562,POLR3A,TF ChIP-seq,neg,all,1,18,0.05555555555555555,3,599,0.005008347245409015,11.686274509803921,3.8687028894138136,0.11194628758778385,0.4998303542296665
K562,EP400,TF ChIP-seq,neg,all,6,18,0.3333333333333333,106,599,0.17696160267111852,2.3254716981132075,1.268780182596927,0.11449170101115864,0.5023816880575841
K562,MNT,TF ChIP-seq,neg,all,6,18,0.3333333333333333,106,599,0.17696160267111852,2.3254716981132075,1.268780182596927,0.11449170101115864,0.5023816880575841
