effect_sign,background,target,assay,pos_overlap,pos_total,pos_frac,bg_overlap,bg_total,bg_frac,odds_ratio,p_value,FDR,log2_OR
pos,powered,RB1,TF ChIP-seq,7,29,0.2413793103448276,64,373,0.17158176943699732,1.5362215909090908,0.319851351557629,1.0,0.6776058430698544
pos,powered,RAD51,TF ChIP-seq,5,29,0.1724137931034483,47,373,0.1260053619302949,1.4450354609929077,0.5623615698495408,1.0,0.625805347737572
pos,powered,RAD21,TF ChIP-seq,11,29,0.3793103448275862,148,373,0.3967828418230563,0.9290540540540541,1.0,1.0,-0.0832269071173217
pos,powered,PYGO2,TF ChIP-seq,0,29,0.0,11,373,0.029490616621983913,0.0,1.0,1.0,-0.9043678205165572
pos,powered,PTTG1,TF ChIP-seq,0,29,0.0,9,373,0.024128686327077747,0.0,1.0,1.0,-0.6207955584784897
pos,powered,PTRF,TF ChIP-seq,0,29,0.0,12,373,0.032171581769437,0.0,1.0,1.0,-1.0286474021854481
pos,powered,PRPF4,TF ChIP-seq,1,29,0.034482758620689655,14,373,0.03753351206434316,0.9158163265306123,1.0,1.0,0.3839394518681402
pos,powered,RBM25,TF ChIP-seq,3,29,0.10344827586206896,21,373,0.05630026809651475,1.934065934065934,0.4020429138423226,1.0,1.114649160078463
pos,powered,SUZ12,TF ChIP-seq,0,29,0.0,2,373,0.005361930294906166,0.0,1.0,1.0,1.3326472562893927
pos,powered,RUNX1,TF ChIP-seq,1,29,0.034482758620689655,13,373,0.03485254691689008,0.989010989010989,1.0,1.0,0.4910404336337684
pos,powered,SETDB1,TF ChIP-seq,0,29,0.0,2,373,0.005361930294906166,0.0,1.0,1.0,1.3326472562893927
pos,powered,STAT5A,TF ChIP-seq,4,29,0.13793103448275862,34,373,0.09115281501340483,1.5952941176470588,0.3389641511141591,1.0,0.7962429669373795
pos,powered,STAG1,TF ChIP-seq,5,29,0.1724137931034483,38,373,0.10187667560321716,1.8366228070175439,0.2191535715320044,1.0,0.9681041900273712
pos,powered,SRSF3,TF ChIP-seq,0,29,0.0,2,373,0.005361930294906166,0.0,1.0,1.0,1.3326472562893927
pos,powered,SREBF1,TF ChIP-seq,1,29,0.034482758620689655,8,373,0.021447721179624665,1.6294642857142858,0.4938535334211557,1.0,1.1783372412585125
pos,powered,SPI1,TF ChIP-seq,3,29,0.10344827586206896,45,373,0.12064343163538874,0.841025641025641,1.0,1.0,-0.06861061238196176
