target,assay
ZNF512,TF ChIP-seq
GABPA,TF ChIP-seq
VEZF1,TF ChIP-seq
ZNF395,TF ChIP-seq
CHAMP1,TF ChIP-seq
FOXO4,TF ChIP-seq
ATF6,TF ChIP-seq
KDM4B,TF ChIP-seq
GTF2I,TF ChIP-seq
E4F1,TF ChIP-seq
TAF7,TF ChIP-seq
PYGO2,TF ChIP-seq
NR2F6,TF ChIP-seq
SMAD3,TF ChIP-seq
ZNF518B,TF ChIP-seq
ADNP,TF ChIP-seq
NFATC3,TF ChIP-seq
HBP1,TF ChIP-seq
AFF1,TF ChIP-seq
ZNF12,TF ChIP-seq
MNT,TF ChIP-seq
ZNF148,TF ChIP-seq
PTRF,TF ChIP-seq
NFE2L1,TF ChIP-seq
TAF9B,TF ChIP-seq
MBD1,TF ChIP-seq
DDIT3,TF ChIP-seq
ZNF668,TF ChIP-seq
PHB,TF ChIP-seq
CREB5,TF ChIP-seq
RB1,TF ChIP-seq
PHTF2,TF ChIP-seq
CBFA2T3,TF ChIP-seq
TRIP13,TF ChIP-seq
MTA3,TF ChIP-seq
PHF21A,TF ChIP-seq
ZNF215,TF ChIP-seq
DMBX1,TF ChIP-seq
POLR2AphosphoS5,TF ChIP-seq
CCAR2,TF ChIP-seq
ESRRB,TF ChIP-seq
POLR2G,TF ChIP-seq
ZBTB26,TF ChIP-seq
BCLAF1,TF ChIP-seq
RBM39,TF ChIP-seq
NUFIP1,TF ChIP-seq
ZNF3,TF ChIP-seq
ZFPM2,TF ChIP-seq
MECOM,TF ChIP-seq
OTX1,TF ChIP-seq
ELF4,TF ChIP-seq
MYC,TF ChIP-seq
ZNF280B,TF ChIP-seq
RNF219,TF ChIP-seq
CBFA2T2,TF ChIP-seq
ELF2,TF ChIP-seq
ZNF253,TF ChIP-seq
ZNF830,TF ChIP-seq
ZNF84,TF ChIP-seq
ARID1B,TF ChIP-seq
ZNF740,TF ChIP-seq
MYBL2,TF ChIP-seq
E2F7,TF ChIP-seq
THRB,TF ChIP-seq
STAG1,TF ChIP-seq
GABPB2,TF ChIP-seq
ZMYM3,TF ChIP-seq
ZNF407,TF ChIP-seq
PATZ1,TF ChIP-seq
ZNF445,TF ChIP-seq
BCL6,TF ChIP-seq
ZNF319,TF ChIP-seq
ZNF134,TF ChIP-seq
SREBF2,TF ChIP-seq
TSC22D4,TF ChIP-seq
CLOCK,TF ChIP-seq
ZNF444,TF ChIP-seq
HNRNPK,TF ChIP-seq
