experiment,lab,n_audit_error,n_audit_notcompliant,n_audit_warning
ENCSR003SSR,"Joseph Costello, UCSF",2,2,3
ENCSR024LKA,"Michael Snyder, Stanford",0,2,7
ENCSR056VYW,"Michael Snyder, Stanford",0,0,4
ENCSR085DDI,"Michael Snyder, Stanford",0,0,0
ENCSR030TJP,"Michael Snyder, Stanford",0,2,0
ENCSR023OOE,"Michael Snyder, Stanford",0,0,7
ENCSR005NMT,"Michael Snyder, Stanford",0,0,7
ENCSR024CNP,"Michael Snyder, Stanford",0,0,2
ENCSR056VMR,"Richard Myers, HAIB",0,0,5
ENCSR047LSJ,"Xiang-Dong Fu, UCSD",0,0,9
ENCSR052PTN,"Xiang-Dong Fu, UCSD",0,5,7
ENCSR072VUO,"Xiang-Dong Fu, UCSD",0,0,5
ENCSR076YPO,"Richard Myers, HAIB",0,0,0
ENCSR063WYJ,"Bing Ren, UCSD",0,3,7
ENCSR051OUX,"Michael Snyder, Stanford",0,2,2
ENCSR023IPQ,"Michael Snyder, Stanford",0,0,4
ENCSR079WHK,"Michael Snyder, Stanford",0,0,1
ENCSR003GUC,"Michael Snyder, Stanford",0,0,6
ENCSR041YBR,"Richard Myers, HAIB",0,0,5
ENCSR087TYG,"Richard Myers, HAIB",0,0,3
ENCSR018MSO,"Kevin White, UChicago",0,0,2
ENCSR059BWP,"Michael Snyder, Stanford",0,0,4
ENCSR091IQZ,"Michael Snyder, Stanford",0,0,9
ENCSR041QAZ,"Michael Snyder, Stanford",0,0,4
ENCSR038RGL,"Michael Snyder, Stanford",0,0,3
ENCSR031TFS,"Michael Snyder, Stanford",0,0,5
ENCSR011NOZ,"Michael Snyder, Stanford",0,0,1
ENCSR014RCS,"Xiang-Dong Fu, UCSD",0,4,8
ENCSR036QIR,"Michael Snyder, Stanford",0,0,4
ENCSR068VRA,"Michael Snyder, Stanford",0,0,0
ENCSR017GBO,"Kevin White, UChicago",0,0,3
ENCSR090JNM,"Michael Snyder, Stanford",0,0,0
ENCSR034GHQ,"Michael Snyder, Stanford",0,0,4
ENCSR124YFA,"Richard Myers, HAIB",0,0,1
ENCSR127NBZ,"Michael Snyder, Stanford",0,0,4
ENCSR150LGS,"Richard Myers, HAIB",0,0,6
ENCSR110JLQ,"Michael Snyder, Stanford",0,0,6
ENCSR163VTS,"Richard Myers, HAIB",0,0,5
ENCSR115QIT,"Richard Myers, HAIB",0,0,3
ENCSR126YJQ,"Michael Snyder, Stanford",0,0,8
ENCSR113LAS,"Michael Snyder, Stanford",0,0,2
ENCSR138YYY,"Michael Snyder, Stanford",0,2,4
ENCSR115SMW,"Michael Snyder, Stanford",0,0,0
ENCSR106FRG,"Michael Snyder, Stanford",0,0,2
ENCSR107RHZ,"Michael Snyder, Stanford",0,0,2
ENCSR157TCS,"Michael Snyder, Stanford",0,0,2
