experiment,lab,n_audit_error,n_audit_notcompliant,n_audit_warning
ENCSR925LJZ,"Bradley Bernstein, Broad",0,6,4
ENCSR883UGG,"Michael Snyder, Stanford",0,0,7
ENCSR934RJP,"Michael Snyder, Stanford",0,0,6
ENCSR879HUU,"Michael Snyder, Stanford",0,0,2
ENCSR935PEA,"Michael Snyder, Stanford",0,0,4
ENCSR869IUD,"Michael Snyder, Stanford",0,0,5
ENCSR847LBF,"Kevin White, UChicago",0,0,2
ENCSR946BXO,"Richard Myers, HAIB",0,0,1
ENCSR920ASP,"Kevin White, UChicago",0,0,4
ENCSR883AQJ,"Bing Ren, UCSD",0,7,9
ENCSR910JAI,"Michael Snyder, Stanford",0,0,5
ENCSR850WUE,"Xiang-Dong Fu, UCSD",0,2,8
ENCSR899GSH,"Xiang-Dong Fu, UCSD",0,2,3
ENCSR926TAH,"Richard Myers, HAIB",0,0,5
ENCSR914NEI,"Michael Snyder, Stanford",0,0,3
ENCSR850KIP,"Bradley Bernstein, Broad",0,0,7
ENCSR893WSB,"Michael Snyder, Stanford",0,2,1
ENCSR886RYH,"Michael Snyder, Stanford",0,0,8
ENCSR898IDK,"Michael Snyder, Stanford",0,0,2
ENCSR873LYH,"Michael Snyder, Stanford",0,0,0
ENCSR861UWB,"Michael Snyder, Stanford",0,0,6
ENCSR906CWK,"Michael Snyder, Stanford",0,0,2
ENCSR895HSJ,"Michael Snyder, Stanford",0,0,0
ENCSR871TKJ,"Michael Snyder, Stanford",0,0,6
ENCSR851XLW,"Michael Snyder, Stanford",0,2,6
ENCSR926KTP,"Michael Snyder, Stanford",0,0,3
ENCSR845BCL,"Kevin White, UChicago",0,0,2
ENCSR859ZAC,"Richard Myers, HAIB",0,0,7
ENCSR948KMB,"Xiang-Dong Fu, UCSD",0,0,4
ENCSR898XMH,"Michael Snyder, Stanford",0,2,0
ENCSR854MCV,"Michael Snyder, Stanford",0,0,9
ENCSR928KOR,"Michael Snyder, Stanford",0,2,0
ENCSR879YNX,"Richard Myers, HAIB",0,0,3
ENCSR985OYK,"Michael Snyder, Stanford",0,0,2
ENCSR963CCJ,"Richard Myers, HAIB",0,0,4
ENCSR972ZBV,"Michael Snyder, Stanford",0,0,5
ENCSR992XTY,"Bradley Bernstein, Broad",0,0,36
ENCSR991ELG,"Michael Snyder, Stanford",0,0,3
ENCSR989LMJ,"Richard Myers, HAIB",0,0,6
ENCSR955LXM,"Richard Myers, HAIB",0,0,5
ENCSR967HXD,"Bradley Bernstein, Broad",0,1,12
ENCSR975SSR,"Kevin White, UChicago",0,0,2
ENCSR952GVX,"Bradley Bernstein, Broad",0,0,11
ENCSR953DVM,"Michael Snyder, Stanford",0,2,5
ENCSR976MXN,"Richard Myers, HAIB",0,0,6
ENCSR962BEI,"Richard Myers, HAIB",0,0,6
ENCSR963EQY,"Richard Myers, HAIB",0,0,6
ENCSR987FPY,"Richard Myers, HAIB",0,0,5
ENCSR998AJK,"Michael Snyder, Stanford",0,0,2
ENCSR992KLV,"Richard Myers, HAIB",0,0,1
ENCSR998OMC,"Michael Snyder, Stanford",0,0,7
ENCSR972CVS,"Michael Snyder, Stanford",0,0,4
ENCSR953KEY,"Michael Snyder, Stanford",0,0,11
ENCSR986CDX,"Michael Snyder, Stanford",0,2,4
ENCSR997NGQ,"Michael Snyder, Stanford",0,0,3
ENCSR970NKQ,"Michael Snyder, Stanford",0,0,7
ENCSR990AZC,"Michael Snyder, Stanford",0,0,0
ENCSR991BTY,"Joseph Costello, UCSF",0,3,0
ENCSR957GYL,"Bing Ren, UCSD",0,0,6
ENCSR987KYK,"Michael Snyder, Stanford",0,0,0
ENCSR979QYJ,"Michael Snyder, Stanford",0,0,6
ENCSR958JPH,"Michael Snyder, Stanford",0,0,6
ENCSR995FUM,"Michael Snyder, Stanford",0,0,7
ENCSR972SMV,"Bing Ren, UCSD",0,2,6
ENCSR968GIB,"Michael Snyder, Stanford",0,0,6
ENCSR987PBI,"Michael Snyder, Stanford",0,0,4
ENCSR971EWR,"Richard Myers, HAIB",0,0,6
ENCSR970OJY,"Richard Myers, HAIB",0,0,5
ENCSR957LDM,"Michael Snyder, Stanford",0,0,0
ENCSR948VFL,"Michael Snyder, Stanford",0,0,0
ENCSR996ESX,"Michael Snyder, Stanford",0,2,5
ENCSR949NVY,"Michael Snyder, Stanford",0,2,2
ENCSR996SKD,"Michael Snyder, Stanford",0,0,8
ENCSR959BQO,"Michael Snyder, Stanford",0,0,7
ENCSR980ZWE,"Richard Myers, HAIB",0,0,1
