cellset,term_name,experiment,assay,target,investigated_as,biosample_summary,lab,n_audit_error,n_audit_notcompliant,n_audit_warning,endogenous_tag,keep,exclude_reason,file,output_type,preferred_default,file_size,md5sum,href
K562,K562,ENCSR886RYH,TF ChIP-seq,NONO,RNA binding protein,Homo sapiens K562,"Michael Snyder, Stanford",0,0,8,,True,,ENCFF515YFU,optimal IDR thresholded peaks,True,239443.0,8752a1dbef9a6536bb34bc31cad123b3,https://www.encodeproject.org/files/ENCFF515YFU/@@download/ENCFF515YFU.bed.gz
K562,K562,ENCSR385AHH,TF ChIP-seq,ZNF24,transcription factor,Homo sapiens K562,"Michael Snyder, Stanford",0,0,0,,True,,ENCFF723JDW,optimal IDR thresholded peaks,True,336190.0,22f8e676daeb979e726fc1f4d8bcdab8,https://www.encodeproject.org/files/ENCFF723JDW/@@download/ENCFF723JDW.bed.gz
K562,K562,ENCSR091JXL,TF ChIP-seq,HES1,transcription factor,Homo sapiens K562,"Michael Snyder, Stanford",0,0,7,,True,,ENCFF010OOE,optimal IDR thresholded peaks,True,209209.0,c13baaaec9ca12f5c386ff6409336470,https://www.encodeproject.org/files/ENCFF010OOE/@@download/ENCFF010OOE.bed.gz
K562,K562,ENCSR657EOF,TF ChIP-seq,NFRKB,DNA repair,Homo sapiens K562,"Michael Snyder, Stanford",0,0,2,,True,,ENCFF158FUG,optimal IDR thresholded peaks,True,435320.0,7ac60df853db86986c8c15d8e9875565,https://www.encodeproject.org/files/ENCFF158FUG/@@download/ENCFF158FUG.bed.gz
K562,K562,ENCSR695EQB,TF ChIP-seq,ZNF24,transcription factor,Homo sapiens K562,"Michael Snyder, Stanford",0,0,2,,True,,ENCFF260CBQ,optimal IDR thresholded peaks,True,520138.0,5a37d6db72e31e29e52b6c2b83618f68,https://www.encodeproject.org/files/ENCFF260CBQ/@@download/ENCFF260CBQ.bed.gz
K562,K562,ENCSR638QHV,TF ChIP-seq,ELF4,transcription factor,Homo sapiens K562,"Michael Snyder, Stanford",0,0,9,,True,,ENCFF539SXG,optimal IDR thresholded peaks,True,372701.0,40f72df28c276c4dbe859b809f985ff0,https://www.encodeproject.org/files/ENCFF539SXG/@@download/ENCFF539SXG.bed.gz
K562,K562,ENCSR175EOM,TF ChIP-seq,EHMT2,chromatin remodeler,Homo sapiens K562,"Michael Snyder, Stanford",0,0,2,,True,,ENCFF682XPD,optimal IDR thresholded peaks,True,368275.0,b8af65ccc10365974dab1293c0c10101,https://www.encodeproject.org/files/ENCFF682XPD/@@download/ENCFF682XPD.bed.gz
K562,K562,ENCSR491EBY,TF ChIP-seq,ARID2,chromatin remodeler,Homo sapiens K562,"Michael Snyder, Stanford",0,0,3,,True,,ENCFF344MKI,optimal IDR thresholded peaks,True,222363.0,7fd96f224170a2e482976b73227b529d,https://www.encodeproject.org/files/ENCFF344MKI/@@download/ENCFF344MKI.bed.gz
K562,K562,ENCSR876GXA,TF ChIP-seq,ZBTB33,transcription factor,Homo sapiens K562,"Michael Snyder, Stanford",0,0,1,,True,,ENCFF556STK,optimal IDR thresholded peaks,True,1123859.0,fbe90617a2d058c5b6c374a662588443,https://www.encodeproject.org/files/ENCFF556STK/@@download/ENCFF556STK.bed.gz
K562,K562,ENCSR119ULQ,TF ChIP-seq,NCOA4,cofactor,Homo sapiens K562,"Michael Snyder, Stanford",0,2,2,,True,,ENCFF749HKV,optimal IDR thresholded peaks,True,57498.0,e8091a198d607ff061a1a8ec86192d37,https://www.encodeproject.org/files/ENCFF749HKV/@@download/ENCFF749HKV.bed.gz
K562,K562,ENCSR400FSM,TF ChIP-seq,POLR2H,RNA polymerase complex,Homo sapiens K562 stably expressing POLR2H,"Michael Snyder, Stanford",0,0,13,eGFP,True,,ENCFF922MYE,optimal IDR thresholded peaks,True,431668.0,2e77a9768dd3084d806135f4607f3d3d,https://www.encodeproject.org/files/ENCFF922MYE/@@download/ENCFF922MYE.bed.gz
