cellset,term_name,experiment,assay,target,investigated_as,biosample_summary,lab,n_audit_error,n_audit_notcompliant,n_audit_warning,endogenous_tag,keep,exclude_reason,file,output_type,preferred_default,file_size,md5sum,href
iPSC_ESC,WTC11,ENCSR989LMJ,TF ChIP-seq,RELA,transcription factor,Homo sapiens WTC11 genetically modified (insertion) using CRISPR targeting H. sapiens RELA,"Richard Myers, HAIB",0,0,6,3xFLAG,True,,ENCFF095PJP,IDR thresholded peaks,True,101132,aab8bda8e3c6d3ec6f9434ff0c681dc5,https://www.encodeproject.org/files/ENCFF095PJP/@@download/ENCFF095PJP.bed.gz
iPSC_ESC,WTC11,ENCSR146UIC,TF ChIP-seq,NFYB,transcription factor,Homo sapiens WTC11 genetically modified (insertion) using CRISPR targeting H. sapiens NFYB,"Richard Myers, HAIB",0,0,2,3xFLAG,True,,ENCFF765MOP,conservative IDR thresholded peaks,True,169897,079fad2a9590e27dace74c41b167cd22,https://www.encodeproject.org/files/ENCFF765MOP/@@download/ENCFF765MOP.bed.gz
iPSC_ESC,WTC11,ENCSR564TIP,TF ChIP-seq,CREM,transcription factor,Homo sapiens WTC11 genetically modified (insertion) using CRISPR targeting H. sapiens CREM,"Richard Myers, HAIB",0,0,6,3xFLAG,True,,ENCFF893GOI,IDR thresholded peaks,True,227240,8c4ace1e9c5717b99fc1eb314eadc4b1,https://www.encodeproject.org/files/ENCFF893GOI/@@download/ENCFF893GOI.bed.gz
iPSC_ESC,WTC11,ENCSR928BPP,TF ChIP-seq,ATF2,transcription factor,Homo sapiens WTC11 genetically modified (insertion) using CRISPR targeting H. sapiens ATF2,"Richard Myers, HAIB",0,0,3,3xFLAG,True,,ENCFF671PCI,IDR thresholded peaks,True,25272,e1c956c909e17b751bceae556caf781b,https://www.encodeproject.org/files/ENCFF671PCI/@@download/ENCFF671PCI.bed.gz
iPSC_ESC,WTC11,ENCSR713KVZ,TF ChIP-seq,HMGXB4,transcription factor,Homo sapiens WTC11 genetically modified (insertion) using CRISPR targeting H. sapiens HMGXB4,"Richard Myers, HAIB",0,0,6,3xFLAG,True,,ENCFF760GCW,IDR thresholded peaks,True,387878,7a68e028014b12b7ad5dfd7c705efb38,https://www.encodeproject.org/files/ENCFF760GCW/@@download/ENCFF760GCW.bed.gz
iPSC_ESC,WTC11,ENCSR156JWW,TF ChIP-seq,ZNF263,transcription factor,Homo sapiens WTC11 genetically modified (insertion) using CRISPR targeting H. sapiens ZNF263,"Richard Myers, HAIB",0,0,9,3xFLAG,True,,ENCFF209UEC,IDR thresholded peaks,True,121492,9141c2a3a92849f8f00262416467ad9c,https://www.encodeproject.org/files/ENCFF209UEC/@@download/ENCFF209UEC.bed.gz
iPSC_ESC,WTC11,ENCSR029OPK,TF ChIP-seq,ESRRA,transcription factor,Homo sapiens WTC11 genetically modified (insertion) using CRISPR targeting H. sapiens ESRRA,"Richard Myers, HAIB",0,0,6,3xFLAG,True,,ENCFF258HYD,IDR thresholded peaks,True,132406,926693a8330d6ac433a8058f755b181c,https://www.encodeproject.org/files/ENCFF258HYD/@@download/ENCFF258HYD.bed.gz
iPSC_ESC,WTC11,ENCSR426WZU,TF ChIP-seq,EGR1,transcription factor,"Homo sapiens WTC11 genetically modified (insertion) using CRISPR targeting H. sapiens EGR1, (insertion) using TALEN inserting M. musculus Neurog2","Michael Snyder, Stanford",0,0,5,3xFLAG,False,"perturbing GM: purpose=expression,method=TALEN,target=?",ENCFF980KFI,IDR thresholded peaks,True,2406,bcaf60575765e3b3e793b97e12a3a3ea,https://www.encodeproject.org/files/ENCFF980KFI/@@download/ENCFF980KFI.bed.gz
iPSC_ESC,WTC11,ENCSR214RUE,TF ChIP-seq,ZNF219,transcription factor,Homo sapiens WTC11 genetically modified (insertion) using CRISPR targeting H. sapiens ZNF219,"Richard Myers, HAIB",0,0,3,3xFLAG,True,,ENCFF660FXN,IDR thresholded peaks,True,73405,e9a27d9230f69304aa662b3b41842d9e,https://www.encodeproject.org/files/ENCFF660FXN/@@download/ENCFF660FXN.bed.gz
iPSC_ESC,WTC11,ENCSR032DGZ,TF ChIP-seq,ZNF281,transcription factor,Homo sapiens WTC11 genetically modified (insertion) using CRISPR targeting H. sapiens ZNF281,"Richard Myers, HAIB",0,0,5,3xFLAG,True,,ENCFF716OVN,IDR thresholded peaks,True,151338,dd81290009f147feb6a9db9e441d5e1f,https://www.encodeproject.org/files/ENCFF716OVN/@@download/ENCFF716OVN.bed.gz
iPSC_ESC,WTC11,ENCSR349FYX,TF ChIP-seq,MAX,transcription factor,Homo sapiens WTC11 genetically modified (insertion) using CRISPR targeting H. sapiens MAX,"Richard Myers, HAIB",0,0,3,3xFLAG,True,,ENCFF760NBK,IDR thresholded peaks,True,537219,7d628edad5bd477fdf6cf8965200a05d,https://www.encodeproject.org/files/ENCFF760NBK/@@download/ENCFF760NBK.bed.gz
iPSC_ESC,WTC11,ENCSR507RVF,TF ChIP-seq,FOXP4,transcription factor,Homo sapiens WTC11 genetically modified (insertion) using CRISPR targeting H. sapiens FOXP4,"Richard Myers, HAIB",0,0,3,3xFLAG,True,,ENCFF172KCZ,IDR thresholded peaks,True,285348,7649603a8f0d8d9dfda4724d3b3ee59b,https://www.encodeproject.org/files/ENCFF172KCZ/@@download/ENCFF172KCZ.bed.gz
iPSC_ESC,WTC11,ENCSR546PDE,TF ChIP-seq,FOXP1,cofactor,Homo sapiens WTC11 genetically modified (insertion) using CRISPR targeting H. sapiens FOXP1,"Richard Myers, HAIB",0,0,9,3xFLAG,True,,ENCFF023NWB,IDR thresholded peaks,True,327187,823cc33aedc5768c8b1915fe4339ba30,https://www.encodeproject.org/files/ENCFF023NWB/@@download/ENCFF023NWB.bed.gz
iPSC_ESC,WTC11,ENCSR248QBT,TF ChIP-seq,USF1,transcription factor,Homo sapiens WTC11 genetically modified (insertion) using CRISPR targeting H. sapiens USF1,"Richard Myers, HAIB",0,0,3,3xFLAG,True,,ENCFF254GEZ,IDR thresholded peaks,True,289889,1ca32e281605816b090652ac357146bd,https://www.encodeproject.org/files/ENCFF254GEZ/@@download/ENCFF254GEZ.bed.gz
iPSC_ESC,WTC11,ENCSR836SPL,TF ChIP-seq,E2F1,transcription factor,Homo sapiens WTC11 genetically modified (insertion) using CRISPR targeting H. sapiens E2F1,"Richard Myers, HAIB",0,0,5,3xFLAG,True,,ENCFF548QOU,IDR thresholded peaks,True,84591,8da9f7ffdcce2d5edb442e60bdd6ab23,https://www.encodeproject.org/files/ENCFF548QOU/@@download/ENCFF548QOU.bed.gz
iPSC_ESC,WTC11,ENCSR454GVT,TF ChIP-seq,NR2C2,transcription factor,Homo sapiens WTC11 genetically modified (insertion) using CRISPR targeting H. sapiens NR2C2,"Richard Myers, HAIB",0,0,5,3xFLAG,True,,ENCFF847UIM,IDR thresholded peaks,True,55577,d03d2e7149c02d831f97e5914a4364b7,https://www.encodeproject.org/files/ENCFF847UIM/@@download/ENCFF847UIM.bed.gz
iPSC_ESC,WTC11,ENCSR229QAN,TF ChIP-seq,USF2,transcription factor,Homo sapiens WTC11 genetically modified (insertion) using CRISPR targeting H. sapiens USF2,"Richard Myers, HAIB",0,0,7,3xFLAG,True,,ENCFF071DRB,IDR thresholded peaks,True,321683,e1a8d560885a7dde5ff071b39629e31c,https://www.encodeproject.org/files/ENCFF071DRB/@@download/ENCFF071DRB.bed.gz
iPSC_ESC,WTC11,ENCSR199PXS,TF ChIP-seq,ZBTB43,transcription factor,Homo sapiens WTC11 genetically modified (insertion) using CRISPR targeting H. sapiens ZBTB43,"Richard Myers, HAIB",0,0,5,3xFLAG,True,,ENCFF058ZDU,IDR thresholded peaks,True,190511,72e625d8fe939047509c001c6ee188ef,https://www.encodeproject.org/files/ENCFF058ZDU/@@download/ENCFF058ZDU.bed.gz
iPSC_ESC,WTC11,ENCSR910UQX,TF ChIP-seq,TGIF2,transcription factor,Homo sapiens WTC11 genetically modified (insertion) using CRISPR targeting H. sapiens TGIF2,"Richard Myers, HAIB",0,0,7,3xFLAG,True,,ENCFF219OPP,conservative IDR thresholded peaks,True,288980,da5caabc9886236f52fdca954ec28953,https://www.encodeproject.org/files/ENCFF219OPP/@@download/ENCFF219OPP.bed.gz
iPSC_ESC,WTC11,ENCSR150LGS,TF ChIP-seq,E2F5,transcription factor,Homo sapiens WTC11 genetically modified (insertion) using CRISPR targeting H. sapiens E2F5,"Richard Myers, HAIB",0,0,6,3xFLAG,True,,ENCFF746QNQ,IDR thresholded peaks,True,253979,d19cc68326ed76e4a9afbc13fa2568ab,https://www.encodeproject.org/files/ENCFF746QNQ/@@download/ENCFF746QNQ.bed.gz
iPSC_ESC,WTC11,ENCSR722OTA,TF ChIP-seq,NR3C1,transcription factor,Homo sapiens WTC11 genetically modified (insertion) using CRISPR targeting H. sapiens NR3C1,"Richard Myers, HAIB",0,0,6,3xFLAG,True,,ENCFF640UMI,conservative IDR thresholded peaks,True,49704,2b86d4ca7aa0102bcb47608f832090cc,https://www.encodeproject.org/files/ENCFF640UMI/@@download/ENCFF640UMI.bed.gz
iPSC_ESC,WTC11,ENCSR962BEI,TF ChIP-seq,ZBTB21,transcription factor,Homo sapiens WTC11 genetically modified (insertion) using CRISPR targeting H. sapiens ZBTB21,"Richard Myers, HAIB",0,0,6,3xFLAG,True,,ENCFF248QLP,IDR thresholded peaks,True,138328,ed65fea03ae57f030871de06bb5bae3e,https://www.encodeproject.org/files/ENCFF248QLP/@@download/ENCFF248QLP.bed.gz
iPSC_ESC,WTC11,ENCSR887VJM,TF ChIP-seq,ATF1,transcription factor,Homo sapiens WTC11 genetically modified (insertion) using CRISPR targeting H. sapiens ATF1,"Richard Myers, HAIB",0,0,6,3xFLAG,True,,ENCFF395OJF,IDR thresholded peaks,True,69319,11e77d6e37947ac00eb35d54c3e6d654,https://www.encodeproject.org/files/ENCFF395OJF/@@download/ENCFF395OJF.bed.gz
iPSC_ESC,WTC11,ENCSR048PPE,TF ChIP-seq,STAT6,transcription factor,Homo sapiens WTC11 genetically modified (insertion) using CRISPR targeting H. sapiens STAT6,"Richard Myers, HAIB",0,0,7,3xFLAG,True,,ENCFF391UZB,conservative IDR thresholded peaks,True,26526,dd2a6befeeb0d6b3146e124dd2b308e8,https://www.encodeproject.org/files/ENCFF391UZB/@@download/ENCFF391UZB.bed.gz
iPSC_ESC,WTC11,ENCSR760GZL,TF ChIP-seq,TP53,transcription factor,Homo sapiens WTC11 genetically modified (insertion) using CRISPR targeting H. sapiens TP53,"Richard Myers, HAIB",0,0,5,3xFLAG,True,,ENCFF403HEQ,IDR thresholded peaks,True,154470,09b86a09c6bc0ac8c6b0efb2a8eec5ae,https://www.encodeproject.org/files/ENCFF403HEQ/@@download/ENCFF403HEQ.bed.gz
iPSC_ESC,WTC11,ENCSR350LBJ,TF ChIP-seq,KAT7,chromatin remodeler,Homo sapiens WTC11 genetically modified (insertion) using CRISPR targeting H. sapiens KAT7,"Richard Myers, HAIB",0,0,6,3xFLAG,True,,ENCFF019XPF,IDR thresholded peaks,True,171827,32d461d7cf9322679d1602d92faf8612,https://www.encodeproject.org/files/ENCFF019XPF/@@download/ENCFF019XPF.bed.gz
iPSC_ESC,WTC11,ENCSR352RXE,TF ChIP-seq,FOXK1,transcription factor,Homo sapiens WTC11 genetically modified (insertion) using CRISPR targeting H. sapiens FOXK1,"Richard Myers, HAIB",0,0,5,3xFLAG,True,,ENCFF934PLP,IDR thresholded peaks,True,320623,0ba9e485da9ebb1ef57f50c7fc74f774,https://www.encodeproject.org/files/ENCFF934PLP/@@download/ENCFF934PLP.bed.gz
iPSC_ESC,WTC11,ENCSR592ZQB,TF ChIP-seq,IRF2,transcription factor,Homo sapiens WTC11 genetically modified (insertion) using CRISPR targeting H. sapiens IRF2,"Richard Myers, HAIB",0,0,3,3xFLAG,True,,ENCFF168YVH,IDR thresholded peaks,True,22340,52519b777e9f5b0c0becded63214af92,https://www.encodeproject.org/files/ENCFF168YVH/@@download/ENCFF168YVH.bed.gz
iPSC_ESC,WTC11,ENCSR866VOW,TF ChIP-seq,CBFB,transcription factor,Homo sapiens WTC11 genetically modified (insertion) using CRISPR targeting H. sapiens CBFB,"Richard Myers, HAIB",0,0,6,3xFLAG,True,,ENCFF341OPF,IDR thresholded peaks,True,87700,ab54bb92e201de5a0842ad0c9f687081,https://www.encodeproject.org/files/ENCFF341OPF/@@download/ENCFF341OPF.bed.gz
iPSC_ESC,WTC11,ENCSR640STN,TF ChIP-seq,ZNF184,transcription factor,Homo sapiens WTC11 genetically modified (insertion) using CRISPR targeting H. sapiens ZNF184,"Richard Myers, HAIB",0,0,6,3xFLAG,True,,ENCFF122AFS,IDR thresholded peaks,True,206922,f4adb251d6a8b567195b59112cb6d821,https://www.encodeproject.org/files/ENCFF122AFS/@@download/ENCFF122AFS.bed.gz
iPSC_ESC,WTC11,ENCSR963EQY,TF ChIP-seq,NR1H2,transcription factor,Homo sapiens WTC11 genetically modified (insertion) using CRISPR targeting H. sapiens NR1H2,"Richard Myers, HAIB",0,0,6,3xFLAG,True,,ENCFF434STO,IDR thresholded peaks,True,21725,8f4350d63def4fdfb433c319f53e2bc5,https://www.encodeproject.org/files/ENCFF434STO/@@download/ENCFF434STO.bed.gz
iPSC_ESC,WTC11,ENCSR231CZR,TF ChIP-seq,SOX15,transcription factor,Homo sapiens WTC11 genetically modified (insertion) using CRISPR targeting H. sapiens SOX15,"Michael Snyder, Stanford",0,0,4,eGFP,True,,ENCFF812XUO,IDR thresholded peaks,True,3517,bc9d13fd65b235cd00f4c37aea00c470,https://www.encodeproject.org/files/ENCFF812XUO/@@download/ENCFF812XUO.bed.gz
